zone_id,zone_name,rooms_in_zone,zone_description,bhk_applicability,facing_dependency,must_be_accessible_from,must_not_be_accessible_from,max_depth_from_entry,min_zone_width_m,recommended_zone_fraction,vastu_zone_name,cross_ventilation_required,natural_light_required,noise_sensitivity,privacy_penetration_rule,drawing_color_hint,typical_tn_arrangement
11,SERVICE_ZONE,"kitchen,utility,toilet_common,staircase",Extended service zone with staircase in 3BHK for G+1 construction,3BHK,ANY,PUBLIC_ZONE,PRIVATE_ZONE,2,3.0,0.25,Agni,1,1,LOW,Staircase opening visible from dining — vertical circulation exposes service zone to social spaces,#FFF9C4,3BHK kitchen SE; utility and staircase S wall; common toilet NW; staircase beside utility with service door behind
12,SERVICE_ZONE,"kitchen,utility,store,toilet_common,staircase",Premium service pod with store room and staircase in 4BHK,4BHK,ANY,PUBLIC_ZONE,PRIVATE_ZONE,2,3.5,0.24,Agni,1,1,LOW,Store room accessible from bedroom corridor — service zone extends into private wing violating zone separation,#FFF9C4,4BHK kitchen SE; utility and store beside kitchen; staircase at service zone end; common toilet NW near corridor
13,PASSAGE_ZONE,corridor,Full-width linear corridor separating service from private zone in 2BHK,2BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.0,0.10,Brahmasthana,0,0,MEDIUM,No corridor in 2BHK means bedrooms open directly into living — acoustic and visual privacy failure,#F3F3F3,2BHK corridor 1.0-1.2m deep spans full net width between band 3 and band 4; bedroom doors on south face
14,PASSAGE_ZONE,corridor,Full-width linear corridor as primary bedroom access spine in 3BHK,3BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.0,0.09,Brahmasthana,0,0,MEDIUM,Corridor connected to kitchen instead of living — service traffic contaminates private zone access,#F3F3F3,3BHK corridor 1.0-1.2m deep full net width; living door on N face; kitchen door mid-corridor; all bedroom doors on S face
15,PASSAGE_ZONE,corridor,Wide corridor with bedroom wing access and pooja alcove in 4BHK,4BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.0,0.08,Brahmasthana,0,0,MEDIUM,Corridor too narrow in 4BHK for four bedroom doors — crowding creates circulation failure at peak use,#F3F3F3,4BHK corridor 1.2m minimum; four bedroom doors on S face; living opens N; pooja niche at E end of corridor
16,PRIVATE_ZONE,"master_bedroom,toilet_attached",Single bedroom private zone in 1BHK with attached toilet behind bedroom,1BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.5,0.42,Nairuthya,1,1,HIGH,Bedroom accessible from kitchen — service staff path through private zone is unacceptable,#C8D8E8,1BHK master bedroom SW or S with attached toilet sharing W or S wall; bedroom door faces living not kitchen
17,PRIVATE_ZONE,"master_bedroom,toilet_attached,bedroom_2",Two-bedroom private wing with master and second bedroom in 2BHK,2BHK,ANY,PASSAGE_ZONE,SERVICE_ZONE,3,3.5,0.44,Nairuthya,1,1,HIGH,Both bedroom doors face living room — private zone completely exposed to guest sightlines in 2BHK,#C8D8E8,2BHK master SW with attached toilet on W side; bedroom_2 on SE side; corridor access only
18,PRIVATE_ZONE,"master_bedroom,toilet_attached,bedroom_2,bedroom_3",Three-bedroom private wing as full-width private band in 3BHK,3BHK,ANY,PASSAGE_ZONE,SERVICE_ZONE,3,4.0,0.46,Nairuthya,1,1,HIGH,Third bedroom accessible only through master bedroom — cascading privacy violation,#C8D8E8,3BHK master SW; bedroom_2 SE; bedroom_3 S-centre; all doors face corridor; attached toilet on W wall of master
19,PRIVATE_ZONE,"master_bedroom,toilet_attached,bedroom_2,bedroom_3,bedroom_4",Four-bedroom private wing in premium 4BHK with dedicated bedroom corridor,4BHK,ANY,PASSAGE_ZONE,SERVICE_ZONE,3,4.5,0.48,Nairuthya,1,1,HIGH,Any bedroom door visible from living or verandah destroys private zone enclosure for 4BHK,#C8D8E8,4BHK master SW corner with ensuite; bedroom_2 SE; bedroom_3 S-W; bedroom_4 S-E; corridor serves all four doors
20,SEMI_PRIVATE_ZONE,"pooja,staircase",Transitional elements at threshold between public and private in compact 1-2BHK,1BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,1.5,0.06,Ishan,1,1,MEDIUM,No transitional space — bedroom door opens directly into living with zero privacy gradient,#EDE7F6,1BHK: pooja niche near NE of living room; no staircase needed; transition marked by floor level change only
21,SEMI_PRIVATE_ZONE,"pooja,staircase",Transitional zone with pooja room and staircase in 2BHK G+1,2BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,1.8,0.08,Ishan,1,1,MEDIUM,Staircase opens from kitchen — vertical circulation forces service route through cooking zone,#EDE7F6,2BHK: small pooja room at NE of corridor junction; staircase at service zone boundary near corridor
22,SEMI_PRIVATE_ZONE,"pooja,staircase",Well-defined semi-private zone with separate pooja room and staircase in 3BHK,3BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.0,0.09,Ishan,1,1,MEDIUM,Pooja room adjacent to toilet — sacred space contaminated by proximity to sanitation facilities,#EDE7F6,3BHK: pooja room NE corner of service band; staircase SW near utility; clear zone between living and bedrooms
23,SEMI_PRIVATE_ZONE,"pooja,staircase",Premium transitional zone with formal pooja room and grand staircase in 4BHK,4BHK,ANY,PUBLIC_ZONE,SERVICE_ZONE,2,2.5,0.10,Ishan,1,1,MEDIUM,No clear transition zone in 4BHK — guest walks from living directly into four-bedroom corridor,#EDE7F6,4BHK: dedicated pooja room at NE with double-leaf carved door; staircase at S end; foyer marks zone transition
