rule_id,authority_type,district,plot_area_min_sqm,plot_area_max_sqm,road_width_min_m,road_width_max_m,front_setback_m,rear_setback_m,side_setback_left_m,side_setback_right_m,max_height_m,max_floors,fsi,max_ground_coverage_pct,setback_for_facing_N,setback_for_facing_S,setback_for_facing_E,setback_for_facing_W,compound_wall_height_max_m,parking_requirement,annotation_text,regulation_reference,effective_date,special_condition
11,CMDA,Kancheepuram,150,300,,12,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | G+3,"CMDA DCR 2019 Rule 36",2019-02-02,
12,CMDA,Thiruvallur,0,60,,7.2,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | G+1,"CMDA DCR 2019 Rule 36",2019-02-02,
13,CMDA,Thiruvallur,60,150,,9,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | G+2,"CMDA DCR 2019 Rule 36",2019-02-02,
14,CMDA,Thiruvallur,150,300,,12,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | G+3,"CMDA DCR 2019 Rule 36",2019-02-02,
15,CMDA,Chengalpattu,0,60,,7.2,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | G+1,"CMDA DCR 2019 Rule 36",2019-02-02,
16,CMDA,Chengalpattu,60,150,,9,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | G+2,"CMDA DCR 2019 Rule 36",2019-02-02,
17,CMDA,Chengalpattu,150,300,,12,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | G+3,"CMDA DCR 2019 Rule 36",2019-02-02,
18,DTCP,ALL,0,30,,6,0.6,0.6,0,0,7,2,1.5,90,1,1,1,1,1.5,Nil,FRONT: 0.6M | REAR: 0.6M | SIDES: NIL | EWS/LIG PLOTS < 30 SQM,"DTCP TN GO Ms No.127/2019",2019-06-01,Applicable to all DTCP-regulated districts except Chennai/CMDA zones
19,DTCP,ALL,30,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | 30-60 SQM PLOTS,"DTCP TN GO Ms No.127/2019",2019-06-01,Applicable to all DTCP districts; both sides may be party walls on narrow plots
20,DTCP,ALL,60,100,,6,1.2,1.0,0,0,9,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | 60-100 SQM,"DTCP TN GO Ms No.127/2019",2019-06-01,Side setback nil permitted if plot width < 6m per TNCDBR Rule 36(3)
21,DTCP,ALL,60,100,6,9,1.5,1.0,0.6,0.6,9,3,1.5,75,1,1,1,1,1.5,Nil,FRONT: 1.5M (ROAD 6-9M) | REAR: 1.0M | SIDES: 0.6M | 60-100 SQM,"DTCP TN GO Ms No.127/2019",2019-06-01,
22,DTCP,ALL,100,150,,6,1.5,1.0,0,0,9,3,1.5,75,1,1,1,1,1.5,Nil,FRONT: 1.5M | REAR: 1.0M | SIDES: NIL (if W < 7M) | 100-150 SQM,"DTCP TN GO Ms No.127/2019",2019-06-01,One side nil if plot width < 7m per Rule 36(3)
23,DTCP,ALL,100,150,6,9,1.5,1.0,0.6,0.6,9,3,1.5,70,1,1,1,1,1.5,Nil,FRONT: 1.5M (ROAD 6-9M) | REAR: 1.0M | SIDES: 0.6M | 100-150 SQM,"DTCP TN GO Ms No.127/2019",2019-06-01,
24,DTCP,ALL,150,200,,9,2.0,1.5,1.0,1.0,10,3,1.5,65,1,1,1,1,1.5,1 car per unit above 150 sqm,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | 150-200 SQM | G+2,"DTCP TN GO Ms No.127/2019",2019-06-01,Parking mandatory for plots above 150 sqm per DTCP norm
25,DTCP,ALL,200,300,,9,2.0,1.5,1.0,1.0,10,3,1.5,60,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | 200-300 SQM | COV 60%,"DTCP TN GO Ms No.127/2019",2019-06-01,
26,DTCP,ALL,300,500,,12,3.0,2.0,1.5,1.5,12,4,1.5,55,1,1,1,1,1.5,1 car per 100 sqm BUA,FRONT: 3.0M | REAR: 2.0M | SIDES: 1.5M | 300-500 SQM | G+3,"DTCP TN GO Ms No.127/2019",2019-06-01,
27,DTCP,ALL,500,,18,,4.0,2.5,2.0,2.0,15,5,1.5,50,1,1,1,1,1.5,1 car per 75 sqm BUA,FRONT: 4.0M | REAR: 2.5M | SIDES: 2.0M | > 500 SQM | G+4,"DTCP TN GO Ms No.127/2019",2019-06-01,
28,DTCP,Coimbatore,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | COIMBATORE CITY CORPORATION,Coimbatore City Corporation Building Rules 2022,2022-04-01,Coimbatore Municipal Corporation has its own DCR
29,DTCP,Coimbatore,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | 60-150 SQM,Coimbatore City Corporation Building Rules 2022,2022-04-01,
30,DTCP,Coimbatore,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | 150-300 SQM,Coimbatore City Corporation Building Rules 2022,2022-04-01,
31,DTCP,Coimbatore,300,,12,,3.0,2.0,1.5,1.5,15,5,1.5,55,1,1,1,1,1.5,1 car per 100 sqm BUA,FRONT: 3.0M | REAR: 2.0M | SIDES: 1.5M | > 300 SQM,Coimbatore City Corporation Building Rules 2022,2022-04-01,
32,DTCP,Madurai,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | MADURAI CORPORATION,Madurai City Corporation Building Rules 2020,2020-06-01,
33,DTCP,Madurai,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | 60-150 SQM,Madurai City Corporation Building Rules 2020,2020-06-01,
34,DTCP,Madurai,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | 150-300 SQM,Madurai City Corporation Building Rules 2020,2020-06-01,
35,DTCP,Madurai,300,,12,,3.0,2.0,1.5,1.5,15,5,1.5,55,1,1,1,1,1.5,1 car per 100 sqm BUA,FRONT: 3.0M | REAR: 2.0M | SIDES: 1.5M | > 300 SQM,Madurai City Corporation Building Rules 2020,2020-06-01,
36,DTCP,Tiruchirappalli,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | TRICHY CORPORATION,Tiruchirappalli City Corporation Rules 2021,2021-01-01,
37,DTCP,Tiruchirappalli,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | 60-150 SQM,Tiruchirappalli City Corporation Rules 2021,2021-01-01,
38,DTCP,Tiruchirappalli,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | 150-300 SQM,Tiruchirappalli City Corporation Rules 2021,2021-01-01,
39,DTCP,Salem,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | SALEM CORPORATION,Salem City Corporation Rules 2020,2020-09-01,
40,DTCP,Salem,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,Salem City Corporation Rules 2020,2020-09-01,
41,DTCP,Salem,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,Salem City Corporation Rules 2020,2020-09-01,
42,DTCP,Tirunelveli,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | TIRUNELVELI CORPORATION,Tirunelveli Corporation Building Rules 2021,2021-04-01,
43,DTCP,Tirunelveli,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,Tirunelveli Corporation Building Rules 2021,2021-04-01,
44,DTCP,Tirunelveli,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,Tirunelveli Corporation Building Rules 2021,2021-04-01,
45,DTCP,Thoothukudi,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | THOOTHUKUDI CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
46,DTCP,Thoothukudi,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
47,DTCP,Thoothukudi,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
48,DTCP,Vellore,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | VELLORE CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
49,DTCP,Vellore,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
50,DTCP,Vellore,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
51,DTCP,Erode,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | ERODE CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
52,DTCP,Erode,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
53,DTCP,Erode,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
54,DTCP,Tiruppur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | TIRUPPUR CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
55,DTCP,Tiruppur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
56,DTCP,Tiruppur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
57,DTCP,Thanjavur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | THANJAVUR CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
58,DTCP,Thanjavur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
59,DTCP,Thanjavur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
60,DTCP,Dindigul,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | DINDIGUL CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,
61,DTCP,Dindigul,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
62,DTCP,Dindigul,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
63,DTCP,Kanyakumari,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | NAGERCOIL CORPORATION,DTCP TN GO Ms No.127/2019,2019-06-01,Kanyakumari district; Nagercoil municipal jurisdiction
62,DTCP,Kanyakumari,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
65,DTCP,Kanyakumari,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
66,DTCP,Nagapattinam,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL | NAGAPATTINAM,DTCP TN GO Ms No.127/2019,2019-06-01,Cyclone-prone zone; elevated plinth recommended
67,DTCP,Nagapattinam,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
68,DTCP,Nagapattinam,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
69,DTCP,Dharmapuri,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
70,DTCP,Dharmapuri,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
71,DTCP,Dharmapuri,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
72,DTCP,Krishnagiri,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
73,DTCP,Krishnagiri,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
74,DTCP,Krishnagiri,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
75,DTCP,Namakkal,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
76,DTCP,Namakkal,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
77,DTCP,Namakkal,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
78,DTCP,Karur,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
79,DTCP,Karur,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
80,DTCP,Karur,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
81,DTCP,Nilgiris,0,60,,6,1.2,1.0,0,0,7,2,1.0,75,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL | NILGIRIS ECOLOGICALLY SENSITIVE,Nilgiris Hill Area Regulation Order 2013,2013-07-01,Hill area regulation; FSI 1.0 maximum; no ground floor coverage > 75%
82,DTCP,Nilgiris,60,150,,6,1.5,1.0,0.6,0.6,7,2,1.0,70,1,1,1,1,1.5,Nil,FRONT: 1.5M | REAR: 1.0M | SIDES: 0.6M | ECOLOGICALLY SENSITIVE ZONE,Nilgiris Hill Area Regulation Order 2013,2013-07-01,
83,DTCP,Nilgiris,150,300,,9,2.0,1.5,1.0,1.0,7,2,1.0,60,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M | MAX 2 FLOORS IN HILL AREA,Nilgiris Hill Area Regulation Order 2013,2013-07-01,Maximum 2 floors in core hill area; slopes > 25 degrees not buildable
84,DTCP,Ramanathapuram,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
85,DTCP,Ramanathapuram,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
86,DTCP,Ramanathapuram,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
87,DTCP,Sivaganga,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
88,DTCP,Sivaganga,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
89,DTCP,Sivaganga,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
90,DTCP,Virudhunagar,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
91,DTCP,Virudhunagar,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
92,DTCP,Virudhunagar,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
93,DTCP,Madurai,300,,12,,3.0,2.0,1.5,1.5,15,5,1.5,55,1,1,1,1,1.5,1 car per 100 sqm BUA,FRONT: 3.0M | REAR: 2.0M | SIDES: 1.5M | > 300 SQM,Madurai City Corporation Building Rules 2020,2020-06-01,
94,DTCP,Theni,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
95,DTCP,Theni,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
96,DTCP,Theni,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
97,DTCP,Tenkasi,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
98,DTCP,Tenkasi,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
99,DTCP,Tenkasi,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
100,DTCP,Tiruvannamalai,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
101,DTCP,Tiruvannamalai,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
102,DTCP,Tiruvannamalai,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
103,DTCP,Villupuram,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
104,DTCP,Villupuram,60,150,,6,1.2,1.0,0,0,10,3,1.5,80,1,1,1,1,1.5,Nil,FRONT: 1.2M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
105,DTCP,Villupuram,150,300,,9,2.0,1.5,1.0,1.0,12,4,1.5,65,1,1,1,1,1.5,1 car per unit,FRONT: 2.0M | REAR: 1.5M | SIDES: 1.0M,DTCP TN GO Ms No.127/2019,2019-06-01,
106,DTCP,Cuddalore,0,60,,6,1.0,1.0,0,0,7,2,1.5,85,1,1,1,1,1.5,Nil,FRONT: 1.0M | REAR: 1.0M | SIDES: NIL,DTCP TN GO Ms No.127/2019,2019-06-01,
