record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
11,Kanyakumari,Hot_Humid,31.5,24.5,28.5,38.0,19.0,1700,"Jun,Jul,Aug,Sep,Oct,Nov",82.0,72.0,SW,16.0,5.80,8.18,77.42,Warm-Humid,N,0.88,0.76,0.65,0.38,1.00,200,Sloped metal roof with radiant barrier and extended eaves,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on all sides for rain protection,Permeable compound wall to allow sea breeze penetration,0.32,Orient E-W; bedrooms on N with operable windows; kitchen SE; living connects N and S for cross-vent; large overhangs,Trivandrum_IMD
12,Karur,Hot_Dry,35.5,23.5,29.5,43.8,15.0,730,"Oct,Nov",55.0,47.0,NE,8.5,5.68,10.96,78.08,Hot-Dry,N,0.91,0.72,0.59,0.29,0.62,300,Thick flat RCC slab with brick-bat coba and white finish,MEDIUM,HIGH,Thick walls and small recessed windows for thermal mass,Courtyard with water body for passive evaporative cooling,Roof garden with soil layer for thermal insulation,0.17,Compact inward-looking plan; bedrooms on N; kitchen E morning sun; W wall solid or store buffer,Trichy_IMD
13,Krishnagiri,Hot_Dry,35.0,22.0,29.0,43.0,13.5,850,"Oct,Nov,Dec",52.0,44.0,NE,10.5,5.72,12.52,78.22,Composite,N,0.92,0.71,0.60,0.30,0.63,280,RCC slab with insulation board and china mosaic,MEDIUM,HIGH,Thick masonry for thermal mass with small high-level windows,Cross-ventilation between NE openings and SW courtyard,Mud plaster or lime render on exterior walls,0.19,Dense compact plan; rooms around courtyard; bedrooms N; kitchen E; W wall protected by store or utility,Bangalore_IMD
14,Madurai,Hot_Dry,35.5,26.0,30.2,43.2,17.8,900,"Sep,Oct,Nov",57.5,54.5,SW,8.8,5.75,9.91,78.11,Hot-Dry,N,0.92,0.71,0.58,0.31,0.65,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls 300mm+ for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.16,Compact square plan around central courtyard; thick W wall; bedrooms N; kitchen E morning sun,Madurai_Airport
15,Mayiladuthurai,Hot_Humid,33.5,24.0,29.0,41.5,17.5,1300,"Oct,Nov,Dec,Jan",72.0,64.0,NE,11.0,5.18,11.10,79.65,Warm-Humid,N,0.90,0.73,0.62,0.36,0.85,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Large operable windows on NE and SW for cross-ventilation,Deep overhang on S and W for rain and sun protection,Raised plinth for seasonal flooding protection,0.30,Orient E-W; bedrooms N; kitchen SE; living NE; service rooms S buffer; full-width verandah N,Puducherry_IMD
16,Nagapattinam,Hot_Humid,33.0,24.5,29.0,41.0,18.0,1400,"Oct,Nov,Dec,Jan",74.0,66.0,NE,12.0,5.15,10.76,79.84,Warm-Humid,N,0.90,0.73,0.63,0.36,0.90,200,Sloped tile roof with extended eaves and ventilated ridge,CRITICAL,LOW,Stack-effect ventilation with high openings on N and low openings on S,Deep verandah on N and E facades for monsoon rain protection,Elevated plinth 600mm+ for cyclone flood protection,0.30,E-W elongated plan; master bedroom NE; kitchen SE; living opens N; corridor as thermal buffer on W,Puducherry_IMD
17,Namakkal,Hot_Dry,35.8,24.0,30.0,44.0,15.5,680,"Oct,Nov",53.0,45.0,NE,9.0,5.78,11.22,78.17,Hot-Dry,N,0.92,0.71,0.59,0.28,0.60,300,Flat RCC slab with brick-bat coba and light-coloured finish,LOW,HIGH,Thick walls for thermal mass; earth sheltering on N or E side,Small recessed windows on W and S walls to limit solar gain,Roof terrace with shade pergola for passive cooling in evenings,0.17,Compact plan; bedrooms on N; kitchen E morning sun; W wall buffered by store; courtyard centre,Salem_IMD
18,Nilgiris,Composite,22.0,10.5,16.0,30.0,5.0,1800,"Jun,Jul,Aug,Sep",72.0,60.0,SW,18.0,4.20,11.41,76.70,Composite,E,0.82,0.85,0.75,0.50,0.60,280,Sloped Mangalore tile roof with steep pitch for rain runoff and insulated ceiling,MEDIUM,LOW,Solar gain on S and E walls for passive heating in winter,Insulated walls to prevent heat loss in cool nights,Covered verandah on E for morning sun capture,0.35,Orient long axis N-S; living on E for morning sun; bedrooms on S for winter warmth; kitchen W; deep roof overhang N for monsoon,Coimbatore_Airport
19,Perambalur,Composite,34.5,23.5,29.2,42.5,15.5,880,"Oct,Nov,Dec",60.0,52.0,NE,9.5,5.42,11.23,78.88,Composite,N,0.88,0.74,0.61,0.33,0.72,230,RCC slab with brick-bat coba and china mosaic,HIGH,MEDIUM,Cross-ventilation with openings on NE and SW walls,Raised plinth for ground moisture protection,Light-coloured lime wash exterior for solar reflection,0.27,Orient E-W; bedrooms N; kitchen SE; living NE; service rooms buffer W; full-width verandah N,Trichy_IMD
20,Pudukkottai,Hot_Dry,35.2,25.0,30.0,43.0,17.0,820,"Oct,Nov",56.0,49.0,NE,8.5,5.65,10.38,78.82,Hot-Dry,N,0.91,0.72,0.58,0.31,0.63,300,Thick flat RCC slab with brick-bat coba insulation,LOW,HIGH,Evaporative cooling with courtyard; thick masonry walls,Small recessed windows with deep reveals on W and S,Water features in courtyard for passive evaporative cooling,0.17,Compact courtyard plan; bedrooms N; kitchen E; W wall solid with minimal fenestration,Madurai_Airport
21,Ramanathapuram,Hot_Humid,33.5,25.5,30.0,42.0,19.0,850,"Oct,Nov",68.0,62.0,SW,12.0,5.60,9.37,78.83,Warm-Humid,N,0.90,0.72,0.63,0.37,0.80,200,Sloped tile roof with extended eaves for rain and sun protection,HIGH,MEDIUM,Cross-ventilation from SW sea breeze to NE openings,Deep verandah on SW facing for rain and sun protection,Permeable compound wall to allow sea breeze penetration,0.29,E-W elongated plan; bedrooms N; kitchen SE; living NE; service rooms buffer S and W walls,Madurai_Airport
22,Ranipet,Hot_Dry,35.5,22.0,29.2,43.5,13.5,810,"Oct,Nov,Dec",54.0,46.0,NE,11.0,5.65,12.93,79.33,Hot-Dry,N,0.92,0.70,0.60,0.30,0.65,280,RCC slab with insulation and light-coloured china mosaic,MEDIUM,HIGH,Thick walls for thermal mass; small high-level windows on W,Cavity wall construction for thermal insulation,Light exterior finishes to reflect solar radiation,0.19,Compact plan; bedrooms N; kitchen E; service rooms buffer W; courtyard for passive cooling,Nungambakkam
23,Salem,Hot_Dry,35.5,24.0,30.0,43.8,15.5,870,"Oct,Nov,Dec",55.0,46.0,NE,9.5,5.78,11.66,78.15,Hot-Dry,N,0.92,0.72,0.59,0.29,0.62,300,Thick RCC slab with brick-bat coba and china mosaic,LOW,HIGH,Thick masonry walls 300mm for thermal mass,Small recessed windows with deep reveals to limit solar gain,Courtyard with water body for evaporative cooling,0.17,Compact courtyard plan; rooms around court; bedrooms N; kitchen E morning sun; W wall solid,Salem_IMD
24,Sivaganga,Hot_Dry,35.0,25.5,30.2,42.5,17.5,860,"Oct,Nov",58.0,52.0,NE,8.0,5.62,9.84,78.48,Hot-Dry,N,0.91,0.72,0.58,0.31,0.65,300,Thick flat RCC slab with brick-bat coba,LOW,HIGH,Thick walls and small recessed windows for thermal mass,Evaporative cooling with courtyard water feature,Roof terrace with shade structure for evening use,0.17,Dense compact plan; rooms around courtyard; bedrooms N and E; kitchen E; W wall thick and solid,Madurai_Airport
25,Tenkasi,Hot_Humid,31.0,23.0,27.5,38.5,17.0,1450,"Jun,Jul,Aug,Sep,Oct,Nov",75.0,65.0,SW,14.0,5.50,8.96,77.31,Warm-Humid,N,0.88,0.78,0.65,0.38,0.90,200,Sloped Mangalore tile roof with extended eaves,CRITICAL,MEDIUM,Large operable windows on SW and NE for sea breeze capture,Deep verandah on S and W for monsoon rain protection,Raised plinth 450mm for seasonal flooding protection,0.32,Orient E-W; bedrooms N; kitchen SE; living NE for morning light; deep overhang all sides,Tirunelveli_IMD
26,Thanjavur,Hot_Humid,33.5,24.5,29.2,41.8,17.8,1200,"Oct,Nov,Dec",71.0,63.0,NE,10.5,5.22,10.79,79.14,Warm-Humid,N,0.90,0.73,0.62,0.36,0.85,200,Mangalore tile roof on RCC slab with ventilated air gap,HIGH,MEDIUM,Deep verandah on N and E for rain and sun protection,Raised plinth for delta flood protection,Ventilated ridge roof for hot air exhaust,0.29,Orient E-W; bedrooms N; kitchen SE; living NE; full-width verandah N; service rooms buffer S,Trichy_IMD
27,Theni,Hot_Dry,35.5,23.0,29.5,43.5,15.0,900,"Oct,Nov",57.0,49.0,SW,9.0,5.68,10.01,77.48,Composite,N,0.91,0.71,0.58,0.31,0.63,280,Flat RCC slab with brick-bat coba and lime finish,MEDIUM,HIGH,Thick masonry walls with small recessed windows,Courtyard with water body for evaporative cooling,Tree planting on W side for afternoon shade buffer,0.19,Compact plan; bedrooms N; kitchen E morning sun; W wall buffered by store or utility; courtyard central,Madurai_Airport
28,Thiruvallur,Hot_Humid,33.0,24.8,29.2,42.5,18.5,1200,"Jun,Jul,Aug,Sep,Oct,Nov",72.0,63.5,NE,13.0,5.20,13.14,79.91,Warm-Humid,N,0.91,0.73,0.61,0.36,0.85,200,Mangalore tile over ventilated RCC slab with radiant barrier,CRITICAL,MEDIUM,Deep verandah on N and E for rain and sun protection,Elevated plinth with ventilated crawl space,Lightweight reflective roof for reduced heat gain,0.30,Orient E-W; bedrooms N; kitchen SE; service rooms buffer S and W; living opens NE,Nungambakkam
29,Thiruvarur,Hot_Humid,33.5,24.5,29.0,41.5,17.5,1350,"Oct,Nov,Dec,Jan"],71.0,63.0,NE,11.0,5.18,10.77,79.64,Warm-Humid,N,0.90,0.73,0.62,0.36,0.85,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Large openings on NE and SW for cross-ventilation,Elevated plinth 600mm for delta flood protection,Ventilated ridge roof for continuous hot air exhaust,0.30,Orient E-W; bedrooms N; kitchen SE; living NE; service rooms buffer W; full-width verandah N,Puducherry_IMD
30,Tirupattur,Hot_Dry,35.2,22.0,29.0,43.0,13.5,820,"Oct,Nov,Dec",53.0,45.0,NE,10.5,5.70,12.50,78.57,Composite,N,0.92,0.71,0.60,0.30,0.63,280,RCC slab with insulation and light-coloured finish,MEDIUM,HIGH,Thick walls for thermal mass; small high windows on W and S,Cross-ventilation from NE to SW openings,Light-coloured exterior finishes to reflect solar radiation,0.19,Compact plan; bedrooms N; kitchen SE; service rooms buffer W; courtyard for passive cooling,Nungambakkam
31,Tiruppur,Warm_Humid,31.5,23.5,27.5,40.5,15.5,740,"Jun,Jul,Aug,Sep,Oct"],63.0,52.0,W,10.5,5.50,11.10,77.34,Warm-Humid,NE,0.90,0.78,0.60,0.35,0.75,200,Filler slab with double-layered country tile,HIGH,LOW,Large operable windows on N and S for prevailing breeze,Wide overhanging eaves 750mm for monsoon rain protection,Ventilated ridge roof design for hot air exhaust,0.27,Orient E-W; bedrooms N with operable walls; kitchen SE; living NE; deep covered verandah S; W shaded by planting,Coimbatore_Airport
32,Tiruchirappalli,Hot_Dry,35.8,25.5,30.5,44.0,17.5,850,"Oct,Nov",56.0,49.5,SW,8.5,5.72,10.81,78.69,Hot-Dry,N,0.92,0.71,0.58,0.30,0.62,300,Thick flat RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls 300mm for thermal mass and time lag,Internal courtyard with water body for evaporative cooling,Small recessed windows on W and S with deep reveals,0.16,Compact square plan around courtyard; thick W wall; bedrooms N; kitchen E; living opens to N court,Trichy_IMD
33,Tirunelveli,Hot_Dry,35.0,25.0,30.0,43.0,17.5,660,"Oct,Nov",60.0,53.0,SW,10.0,5.68,8.73,77.70,Hot-Dry,N,0.91,0.72,0.58,0.31,0.65,280,Flat RCC slab with brick-bat coba and lime plaster finish,MEDIUM,HIGH,Thick walls for thermal mass; cross-ventilation from SW,Small recessed windows with deep reveals on W and S,Courtyard with plantings for shade and evaporative cooling,0.18,Compact plan; rooms around courtyard; bedrooms N; kitchen E; W wall buffered by store rooms,Tirunelveli_IMD
34,Tiruvannamalai,Composite,34.8,23.0,29.2,42.8,15.0,850,"Oct,Nov,Dec"],59.0,51.0,NE,9.5,5.48,12.23,79.07,Composite,N,0.89,0.73,0.61,0.33,0.70,250,RCC slab with brick-bat coba and white finish,HIGH,MEDIUM,Cross-ventilation between NE openings and SW courtyard,Raised plinth for ground moisture protection,Light exterior finishes to reduce solar heat gain,0.26,Orient E-W; bedrooms N; kitchen SE; living NE; service rooms buffer W; corridor divides zones,Nungambakkam
35,Thoothukudi,Hot_Humid,33.5,26.0,30.0,42.0,19.5,700,"Oct,Nov",70.0,63.0,SW,14.0,5.65,8.80,78.15,Warm-Humid,N,0.90,0.73,0.63,0.38,0.85,200,Sloped tile roof with extended eaves for salt-air protection,HIGH,MEDIUM,Cross-ventilation from SW sea breeze through N openings,Deep verandah on SW facing for sea breeze capture and shade,Corrosion-resistant materials for salt marine environment,0.29,Orient E-W; bedrooms N; kitchen SE; living NE; deep verandah SW for sea breeze; service rooms buffer S,Madurai_Airport
36,Vellore,Hot_Dry,35.5,23.0,29.5,43.8,14.5,800,"Oct,Nov,Dec"],53.0,45.0,NE,10.5,5.65,12.92,79.13,Hot-Dry,N,0.92,0.70,0.60,0.29,0.63,300,Thick flat RCC slab with brick-bat coba and light finish,MEDIUM,HIGH,Thick masonry for thermal mass with small high-level windows,Cross-ventilation between NE and SW openings,Cavity wall with air gap for thermal insulation,0.18,Compact plan; rooms around courtyard; bedrooms N; kitchen E; W wall solid with minimal windows,Nungambakkam
37,Villupuram,Composite,34.0,23.0,28.8,42.0,15.5,950,"Oct,Nov,Dec"],61.0,53.0,NE,9.0,5.40,11.94,79.49,Composite,N,0.88,0.74,0.61,0.33,0.73,230,RCC slab with brick-bat coba and china mosaic,HIGH,MEDIUM,Cross-ventilation from NE to SW axis openings,Raised plinth for ground moisture protection in delta region,Light-coloured lime wash exterior to reduce solar gain,0.27,Orient E-W; bedrooms N; kitchen SE; living NE; service rooms buffer W; corridor between zones,Puducherry_IMD
38,Virudhunagar,Hot_Dry,35.5,25.0,30.5,43.5,17.0,660,"Oct,Nov"],57.0,50.0,SW,9.5,5.68,9.59,77.96,Hot-Dry,N,0.91,0.72,0.58,0.31,0.65,300,Thick flat RCC slab with brick-bat coba and white finish,MEDIUM,HIGH,Thick masonry walls with small recessed windows on W,Courtyard with water body for passive evaporative cooling,Tree planting on W side for afternoon shade and wind buffer,0.17,Compact plan; rooms around courtyard; bedrooms N; kitchen E morning sun; W wall solid with store buffer,Madurai_Airport
