dim_id,passage_type,min_clear_width_m,recommended_width_m,max_width_m,min_height_m,recommended_height_m,door_type,door_swing_clearance_m,bhk_applicability,nbc_reference,applies_to_floors,accessibility_compliant,drawing_symbol,dimension_annotation,common_tn_practice
11,TOILET_DOOR,0.75,0.75,0.9,2.0,2.1,SWING_SINGLE,0.75,3BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Single line with swing arc 90 deg outward,750,3BHK toilet doors 0.75m WPC with 50mm threshold step to contain water per TN plumbing practice
12,TOILET_DOOR,0.75,0.8,0.9,2.0,2.1,SWING_SINGLE,0.8,4BHK,NBC 2016 Part 9 Sec 4,ALL_FLOORS,1,Single line with swing arc 90 deg outward,750-800,Premium 4BHK toilet doors 0.75-0.8m designer WPC or glass-paneled popular in Chennai luxury segment
13,KITCHEN_DOOR,0.8,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,1BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90 deg inward,800-900,1BHK kitchen often has no door but where door exists 0.8-0.9m flush door is TN standard
14,KITCHEN_DOOR,0.8,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90 deg inward,900,2BHK kitchen door 0.9m standard in Tamil Nadu allowing passage with cooking vessels and trays
15,KITCHEN_DOOR,0.9,0.9,1.05,2.1,2.1,SWING_SINGLE,0.9,3BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90 deg inward,900,3BHK kitchen 0.9m door with option for glazed panel to allow visual connection while containing odours
16,KITCHEN_DOOR,0.9,1.05,1.2,2.1,2.1,SWING_SINGLE,1.05,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Single line with swing arc 90 deg inward wide,900-1050,4BHK premium kitchen 1.05m door or open archway with concealed sliding panel for flexible closure
17,UTILITY_DOOR,0.6,0.75,0.9,2.0,2.1,SWING_SINGLE,0.75,2BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,0,Single line with swing arc 90 deg inward,600-750,2BHK utility door 0.6-0.75m basic flush or WPC door sufficient for washing machine access
18,UTILITY_DOOR,0.75,0.75,0.9,2.0,2.1,SWING_SINGLE,0.75,3BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90 deg inward,750,3BHK utility 0.75m water-resistant door with bottom clearance for drainage per TN plumbing standards
19,UTILITY_DOOR,0.75,0.9,1.0,2.0,2.1,SWING_SINGLE,0.9,4BHK,NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Single line with swing arc 90 deg inward,750-900,4BHK utility door 0.75-0.9m accommodating larger appliances and service access
20,POOJA_DOOR,0.6,0.75,0.9,2.1,2.1,SWING_DOUBLE,0.75,"2BHK,3BHK",NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double mini-line with twin swing arcs inward,600-750,Pooja room double-leaf 0.75m carved teak doors traditional in Tamil Nadu with bell and deity motifs
21,POOJA_DOOR,0.75,0.9,1.05,2.1,2.1,SWING_DOUBLE,0.9,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,0,Double line with twin swing arcs inward ornate,750-900,4BHK pooja room 0.9m carved double-leaf teak or rosewood with brass handles per TN temple door style
22,INTERNAL_CORRIDOR,0.9,1.0,1.5,2.4,2.7,OPEN_PASSAGE,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,0,Parallel dashed lines open both ends,900-1000,Corridor 0.9-1.0m connecting living to bedrooms is standard residential passage width in TN
23,INTERNAL_CORRIDOR,1.0,1.2,1.8,2.4,2.7,OPEN_PASSAGE,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.4,ALL_FLOORS,1,Parallel dashed lines open both ends wide,1000-1200,3BHK and 4BHK corridors 1.0-1.2m allowing two people to pass comfortably in TN family homes
24,ARCHWAY_LIVING_DINING,1.5,1.8,2.4,2.4,2.7,ARCHWAY_NO_DOOR,0,1BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line with no door symbol open arch,1500-1800,1BHK living-dining separation via 1.5m archway creates visual openness in small TN flat
25,ARCHWAY_LIVING_DINING,1.8,2.1,3.0,2.4,2.7,ARCHWAY_NO_DOOR,0,"2BHK,3BHK",NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line with no door wide arch,1800-2400,2-3BHK living-dining archway 1.8-2.4m is the most common open-plan element in TN apartment design
26,ARCHWAY_LIVING_DINING,2.1,2.7,4.0,2.7,3.0,ARCHWAY_NO_DOOR,0,4BHK,NBC 2016 Part 4 Sec 5.3,ALL_FLOORS,1,Double curved line grand arch with pillar marks,2400-2700,Luxury 4BHK 2.4-2.7m grand archway between living and dining with columns and ceiling detail
27,ARCHWAY_LIVING_VERANDAH,1.2,1.5,2.1,2.4,2.7,ARCHWAY_NO_DOOR,0,"1BHK,2BHK",NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double curved line with step symbol at threshold,1200-1500,1-2BHK verandah archway 1.2-1.5m with provision for grille gate in TN independent houses
28,ARCHWAY_LIVING_VERANDAH,1.5,1.8,2.7,2.4,2.7,ARCHWAY_NO_DOOR,0,"3BHK,4BHK",NBC 2016 Part 4 Sec 5.3,GROUND_ONLY,1,Double curved line with step symbol wide opening,1800,3BHK and 4BHK homes 1.8m verandah opening with option for folding glass doors for weather protection
29,STAIRCASE_WIDTH,0.9,1.0,1.2,2.2,2.4,OPEN_PASSAGE,0,"2BHK,3BHK",NBC 2016 Part 4 Sec 6,ALL_FLOORS,1,Parallel lines with perpendicular tread lines and up arrow,900-1000,2-3BHK staircase 0.9-1.0m with 150mm riser and 250mm tread per NBC requirements
30,STAIRCASE_WIDTH,1.0,1.2,1.5,2.2,2.4,OPEN_PASSAGE,0,4BHK,NBC 2016 Part 4 Sec 6,ALL_FLOORS,1,Parallel lines with perpendicular tread lines and up arrow wide,1000-1200,Premium staircase 1.0-1.2m with decorative railing and granite treads standard in larger TN homes
